aims_uuid : 4CA28C00-B252-409C-A144-D565F4009B24                                                                                                      
# Complex Kohn-Sham eigenvectors for band number        1, k-point number        1, at relative reciprocal-space coordinates:   0.00000000   0.00000000   0.00000000
#
#      Basis function ID                       State number
#    /                   \    	                         1                             2                             3                             4                             5                             6                             7                             8                             9                             10                            11                            12                            13                            14                            15                            16    
#   /                     \   	                  -1.83342466                   -1.82938952                   -1.75399193                   -1.69191741                   -1.66150226                   -1.63822536                   -1.62332715                   -1.61756012                   -1.60198609                   -0.78156542                   -0.25685949                    0.25746702                    0.28478707                    0.29309129                    1.19750350                    1.23713512  
#  /                       \  	                   1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    0.99984104                    0.00011965                    0.00002456                    0.00001475                    0.00000000                    0.00000000  
# No.  atom   type    n l   m 	    Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]  
 2272    86 atomic    5 d  -2 	     0.00184890    0.00000000      0.02653309    0.00000000      0.03131809    0.00000000     -0.03242811    0.00000000     -0.03896654    0.00000000      0.06883249    0.00000000     -0.11252285    0.00000000      0.09521396    0.00000000     -0.10503127    0.00000000      0.01120157    0.00000000     -0.05267755    0.00000000     -0.02285235    0.00000000      0.13858209    0.00000000     -0.12846252    0.00000000     -0.01657303    0.00000000     -0.00181569    0.00000000  
 2273    86 atomic    5 d  -1 	    -0.00883856    0.00000000     -0.00165656    0.00000000      0.00273522    0.00000000     -0.00139462    0.00000000      0.00140345    0.00000000     -0.00397354    0.00000000      0.00437864    0.00000000      0.00824012    0.00000000     -0.00271904    0.00000000      0.00665174    0.00000000     -0.00080681    0.00000000      0.00072462    0.00000000      0.00182618    0.00000000      0.00014430    0.00000000     -0.00397617    0.00000000      0.00080315    0.00000000  
 2274    86 atomic    5 d   0 	    -0.01364028    0.00000000      0.01387040    0.00000000     -0.00382205    0.00000000     -0.02572360    0.00000000     -0.02604529    0.00000000     -0.00672225    0.00000000      0.02588407    0.00000000      0.05985661    0.00000000      0.02467205    0.00000000     -0.03687497    0.00000000      0.00299154    0.00000000      0.00348797    0.00000000     -0.00303464    0.00000000     -0.00953684    0.00000000      0.01982963    0.00000000      0.03191925    0.00000000  
 2275    86 atomic    5 d   1 	     0.00235177    0.00000000      0.00199434    0.00000000     -0.00041020    0.00000000     -0.00502306    0.00000000      0.00361894    0.00000000      0.00117816    0.00000000      0.00190402    0.00000000      0.00248013    0.00000000      0.00500637    0.00000000      0.02438916    0.00000000      0.00238835    0.00000000      0.00100521    0.00000000     -0.00082882    0.00000000      0.00194340    0.00000000      0.00173021    0.00000000     -0.02237768    0.00000000  
 2276    86 atomic    5 d   2 	     0.11062047    0.00000000     -0.15452828    0.00000000     -0.02293945    0.00000000      0.02875005    0.00000000     -0.04525867    0.00000000     -0.03881198    0.00000000     -0.02637129    0.00000000      0.02631483    0.00000000      0.00481928    0.00000000     -0.01431439    0.00000000     -0.00162945    0.00000000     -0.02539751    0.00000000      0.07518641    0.00000000      0.08335805    0.00000000      0.01366631    0.00000000     -0.00117204    0.00000000  
 2277    86 hydro     3 d  -2 	     0.00034621    0.00000000     -0.00223605    0.00000000     -0.00336726    0.00000000      0.00076549    0.00000000      0.00356004    0.00000000     -0.00613142    0.00000000      0.00851308    0.00000000     -0.00892054    0.00000000      0.00950092    0.00000000     -0.00136997    0.00000000      0.00639496    0.00000000      0.00286875    0.00000000     -0.01676140    0.00000000      0.01517074    0.00000000      0.00280121    0.00000000      0.00052889    0.00000000  
 2278    86 hydro     3 d  -1 	     0.00017634    0.00000000     -0.00050050    0.00000000     -0.00024980    0.00000000      0.00024186    0.00000000      0.00040818    0.00000000     -0.00037294    0.00000000     -0.00030185    0.00000000     -0.00015227    0.00000000     -0.00029836    0.00000000     -0.00081795    0.00000000      0.00049037    0.00000000     -0.00022083    0.00000000     -0.00025015    0.00000000     -0.00027252    0.00000000      0.00301498    0.00000000     -0.00007767    0.00000000  
 2279    86 hydro     3 d   0 	    -0.00269440    0.00000000      0.00366831    0.00000000     -0.00050656    0.00000000     -0.00247037    0.00000000     -0.00081599    0.00000000      0.00291666    0.00000000      0.00342802    0.00000000      0.00396062    0.00000000      0.00264469    0.00000000      0.00216057    0.00000000     -0.00009445    0.00000000     -0.00220131    0.00000000      0.00674983    0.00000000      0.00775902    0.00000000     -0.00301730    0.00000000     -0.00486686    0.00000000  
 2280    86 hydro     3 d   1 	    -0.00012750    0.00000000     -0.00014806    0.00000000     -0.00040959    0.00000000      0.00019251    0.00000000      0.00045661    0.00000000      0.00027210    0.00000000     -0.00034869    0.00000000      0.00011779    0.00000000      0.00037986    0.00000000     -0.00073657    0.00000000      0.00012609    0.00000000      0.00047331    0.00000000      0.00018058    0.00000000      0.00003390    0.00000000     -0.00061974    0.00000000      0.00223757    0.00000000  
 2281    86 hydro     3 d   2 	    -0.00965806    0.00000000      0.01331910    0.00000000      0.00274734    0.00000000     -0.00299676    0.00000000      0.00494860    0.00000000      0.00417563    0.00000000      0.00316793    0.00000000     -0.00264598    0.00000000     -0.00074402    0.00000000      0.00082038    0.00000000     -0.00021908    0.00000000      0.00305896    0.00000000     -0.00918374    0.00000000     -0.01013617    0.00000000     -0.00125707    0.00000000     -0.00034434    0.00000000  
 2282    86 atomic    4 f  -3 	    -0.00032170    0.00000000     -0.00020846    0.00000000      0.00003339    0.00000000      0.00002131    0.00000000      0.00001023    0.00000000     -0.00002308    0.00000000     -0.00000149    0.00000000      0.00001325    0.00000000      0.00003922    0.00000000      0.00008523    0.00000000     -0.00022704    0.00000000      0.00017632    0.00000000     -0.00000928    0.00000000      0.00006364    0.00000000     -0.00007769    0.00000000     -0.00002613    0.00000000  
 2283    86 atomic    4 f  -2 	     0.00000330    0.00000000      0.00000492    0.00000000     -0.00000191    0.00000000     -0.00001345    0.00000000      0.00000078    0.00000000     -0.00000088    0.00000000     -0.00000448    0.00000000     -0.00001241    0.00000000      0.00001573    0.00000000     -0.00002043    0.00000000      0.00000079    0.00000000      0.00000394    0.00000000     -0.00000734    0.00000000      0.00000480    0.00000000     -0.00001426    0.00000000     -0.00001575    0.00000000  
 2284    86 atomic    4 f  -1 	    -0.00015251    0.00000000     -0.00010955    0.00000000     -0.00011620    0.00000000     -0.00004249    0.00000000      0.00017082    0.00000000     -0.00020764    0.00000000      0.00009750    0.00000000      0.00015869    0.00000000     -0.00017837    0.00000000      0.00004080    0.00000000      0.00008729    0.00000000     -0.00007275    0.00000000      0.00000391    0.00000000     -0.00002324    0.00000000     -0.00003001    0.00000000     -0.00000468    0.00000000  
 2285    86 atomic    4 f   0 	    -0.00000218    0.00000000      0.00000358    0.00000000     -0.00000160    0.00000000     -0.00001696    0.00000000     -0.00001973    0.00000000     -0.00002452    0.00000000      0.00000877    0.00000000      0.00003932    0.00000000      0.00001393    0.00000000     -0.00007692    0.00000000      0.00000696    0.00000000     -0.00000339    0.00000000      0.00002490    0.00000000      0.00001395    0.00000000      0.00008821    0.00000000      0.00011914    0.00000000  
 2286    86 atomic    4 f   1 	     0.00001085    0.00000000     -0.00001197    0.00000000     -0.00007888    0.00000000      0.00006322    0.00000000      0.00022180    0.00000000      0.00006238    0.00000000     -0.00016148    0.00000000      0.00013648    0.00000000      0.00021466    0.00000000      0.00010345    0.00000000      0.00018326    0.00000000      0.00021804    0.00000000      0.00008206    0.00000000     -0.00000573    0.00000000     -0.00000423    0.00000000     -0.00008370    0.00000000  
 2287    86 atomic    4 f   2 	    -0.00000441    0.00000000      0.00000352    0.00000000     -0.00000341    0.00000000      0.00000265    0.00000000      0.00000559    0.00000000      0.00000543    0.00000000     -0.00000244    0.00000000     -0.00000439    0.00000000      0.00000085    0.00000000     -0.00003403    0.00000000      0.00000082    0.00000000      0.00000174    0.00000000     -0.00000155    0.00000000     -0.00000433    0.00000000      0.00001171    0.00000000      0.00004456    0.00000000  
 2288    86 atomic    4 f   3 	     0.00002628    0.00000000      0.00005669    0.00000000      0.00039053    0.00000000     -0.00007517    0.00000000      0.00003469    0.00000000     -0.00029165    0.00000000     -0.00009045    0.00000000      0.00008544    0.00000000      0.00010817    0.00000000      0.00000622    0.00000000      0.00007245    0.00000000      0.00008371    0.00000000      0.00003448    0.00000000     -0.00000017    0.00000000      0.00001365    0.00000000      0.00001792    0.00000000  
 2289    86 hydro     4 f  -3 	     0.00336844    0.00000000      0.00218799    0.00000000     -0.00033926    0.00000000     -0.00019268    0.00000000     -0.00009300    0.00000000      0.00029810    0.00000000     -0.00000534    0.00000000     -0.00006249    0.00000000     -0.00045942    0.00000000     -0.00099987    0.00000000      0.00194192    0.00000000     -0.00145250    0.00000000      0.00013770    0.00000000     -0.00058836    0.00000000      0.00120855    0.00000000      0.00047304    0.00000000  
 2290    86 hydro     4 f  -2 	    -0.00003131    0.00000000     -0.00006959    0.00000000      0.00001206    0.00000000      0.00017629    0.00000000     -0.00001814    0.00000000      0.00006826    0.00000000     -0.00005064    0.00000000      0.00019264    0.00000000     -0.00020909    0.00000000      0.00004947    0.00000000     -0.00006174    0.00000000     -0.00000065    0.00000000      0.00021826    0.00000000     -0.00011881    0.00000000      0.00081300    0.00000000      0.00041641    0.00000000  
 2291    86 hydro     4 f  -1 	     0.00201317    0.00000000      0.00130770    0.00000000      0.00128203    0.00000000      0.00062153    0.00000000     -0.00190271    0.00000000      0.00245853    0.00000000     -0.00118733    0.00000000     -0.00195657    0.00000000      0.00197573    0.00000000     -0.00051769    0.00000000     -0.00101394    0.00000000      0.00076950    0.00000000     -0.00012846    0.00000000      0.00018715    0.00000000      0.00065383    0.00000000     -0.00071100    0.00000000  
 2292    86 hydro     4 f   0 	    -0.00008677    0.00000000      0.00006239    0.00000000     -0.00000023    0.00000000      0.00005922    0.00000000      0.00017529    0.00000000      0.00028363    0.00000000     -0.00002114    0.00000000     -0.00017661    0.00000000      0.00004462    0.00000000      0.00075411    0.00000000     -0.00006374    0.00000000      0.00010736    0.00000000     -0.00018007    0.00000000     -0.00006592    0.00000000     -0.00089488    0.00000000     -0.00149155    0.00000000  
 2293    86 hydro     4 f   1 	    -0.00013136    0.00000000      0.00015338    0.00000000      0.00089862    0.00000000     -0.00048787    0.00000000     -0.00241413    0.00000000     -0.00064746    0.00000000      0.00169721    0.00000000     -0.00171168    0.00000000     -0.00259915    0.00000000     -0.00193923    0.00000000     -0.00208618    0.00000000     -0.00237851    0.00000000     -0.00094617    0.00000000     -0.00014436    0.00000000     -0.00030508    0.00000000      0.00255595    0.00000000  
 2294    86 hydro     4 f   2 	     0.00007845    0.00000000     -0.00010849    0.00000000      0.00002376    0.00000000      0.00005742    0.00000000     -0.00004240    0.00000000     -0.00004976    0.00000000     -0.00000689    0.00000000      0.00003969    0.00000000     -0.00006903    0.00000000      0.00030150    0.00000000     -0.00003599    0.00000000     -0.00005088    0.00000000      0.00003264    0.00000000      0.00006796    0.00000000      0.00025080    0.00000000     -0.00084890    0.00000000  
 2295    86 hydro     4 f   3 	    -0.00033671    0.00000000     -0.00068870    0.00000000     -0.00493168    0.00000000      0.00098375    0.00000000     -0.00038154    0.00000000      0.00376760    0.00000000      0.00112424    0.00000000     -0.00112668    0.00000000     -0.00138311    0.00000000     -0.00018846    0.00000000     -0.00095977    0.00000000     -0.00112478    0.00000000     -0.00048875    0.00000000     -0.00006339    0.00000000     -0.00002616    0.00000000     -0.00002172    0.00000000  
 2296    87 atomic    1 s   0 	     0.00001537    0.00000000      0.00004482    0.00000000      0.00005029    0.00000000     -0.00000198    0.00000000      0.00000701    0.00000000      0.00007129    0.00000000      0.00000510    0.00000000     -0.00004498    0.00000000      0.00002316    0.00000000     -0.00000516    0.00000000     -0.00004088    0.00000000      0.00003997    0.00000000     -0.00002158    0.00000000     -0.00001264    0.00000000      0.00000616    0.00000000     -0.00000208    0.00000000  
 2297    87 atomic    2 s   0 	    -0.00010430    0.00000000     -0.00030428    0.00000000     -0.00034157    0.00000000      0.00001359    0.00000000     -0.00004768    0.00000000     -0.00048421    0.00000000     -0.00003465    0.00000000      0.00030557    0.00000000     -0.00015735    0.00000000      0.00003515    0.00000000      0.00027773    0.00000000     -0.00027160    0.00000000      0.00014660    0.00000000      0.00008588    0.00000000     -0.00004167    0.00000000      0.00001397    0.00000000  
 2298    87 atomic    3 s   0 	     0.00036805    0.00000000      0.00107291    0.00000000      0.00120405    0.00000000     -0.00004686    0.00000000      0.00016780    0.00000000      0.00170661    0.00000000      0.00012218    0.00000000     -0.00107648    0.00000000      0.00055418    0.00000000     -0.00012232    0.00000000     -0.00097391    0.00000000      0.00095173    0.00000000     -0.00051417    0.00000000     -0.00030098    0.00000000      0.00014742    0.00000000     -0.00005133    0.00000000  
 2299    87 atomic    4 s   0 	    -0.00115209    0.00000000     -0.00337598    0.00000000     -0.00380328    0.00000000      0.00015090    0.00000000     -0.00053448    0.00000000     -0.00538357    0.00000000     -0.00038902    0.00000000      0.00339359    0.00000000     -0.00174978    0.00000000      0.00038036    0.00000000      0.00303681    0.00000000     -0.00296869    0.00000000      0.00160252    0.00000000      0.00093824    0.00000000     -0.00045605    0.00000000      0.00016424    0.00000000  
 2300    87 atomic    5 s   0 	     0.00402762    0.00000000      0.01210462    0.00000000      0.01382680    0.00000000     -0.00055483    0.00000000      0.00199395    0.00000000      0.01944428    0.00000000      0.00148647    0.00000000     -0.01218117    0.00000000      0.00633239    0.00000000     -0.00122573    0.00000000     -0.01020780    0.00000000      0.00997423    0.00000000     -0.00537134    0.00000000     -0.00313164    0.00000000      0.00147871    0.00000000     -0.00068811    0.00000000  
 2301    87 ionic     6 s   0 	     0.03048593    0.00000000      0.10135742    0.00000000      0.12295183    0.00000000     -0.01482230    0.00000000      0.02159314    0.00000000      0.17303642    0.00000000      0.01290339    0.00000000     -0.11378988    0.00000000      0.06077316    0.00000000     -0.02408644    0.00000000     -0.12079059    0.00000000      0.12477349    0.00000000     -0.06305985    0.00000000     -0.03884712    0.00000000      0.00647078    0.00000000      0.01187402    0.00000000  
 2302    87 atomic    6 s   0 	     0.00396525    0.00000000      0.01175780    0.00000000      0.01341258    0.00000000     -0.00262482    0.00000000      0.00259259    0.00000000      0.01924700    0.00000000      0.00113937    0.00000000     -0.01396628    0.00000000      0.00765817    0.00000000     -0.00424435    0.00000000     -0.01512604    0.00000000      0.01667676    0.00000000     -0.00798378    0.00000000     -0.00489017    0.00000000     -0.00018251    0.00000000      0.00332958    0.00000000  
 2303    87 atomic    2 p  -1 	    -0.00001805    0.00000000      0.00001000    0.00000000      0.00000054    0.00000000     -0.00001352    0.00000000      0.00001354    0.00000000      0.00000348    0.00000000      0.00002081    0.00000000      0.00001793    0.00000000     -0.00000119    0.00000000     -0.00000182    0.00000000     -0.00000552    0.00000000      0.00000174    0.00000000      0.00000823    0.00000000      0.00001008    0.00000000     -0.00000189    0.00000000      0.00000093    0.00000000  
 2304    87 atomic    2 p   0 	    -0.00000053    0.00000000     -0.00000007    0.00000000      0.00000023    0.00000000     -0.00000001    0.00000000      0.00000028    0.00000000      0.00000013    0.00000000      0.00000051    0.00000000      0.00000073    0.00000000     -0.00000014    0.00000000      0.00000190    0.00000000     -0.00000020    0.00000000      0.00000030    0.00000000      0.00000019    0.00000000      0.00000005    0.00000000     -0.00000067    0.00000000     -0.00000210    0.00000000  
 2305    87 atomic    2 p   1 	    -0.00000040    0.00000000     -0.00000439    0.00000000     -0.00001995    0.00000000     -0.00001283    0.00000000     -0.00000935    0.00000000      0.00000761    0.00000000      0.00001231    0.00000000     -0.00001744    0.00000000     -0.00000729    0.00000000     -0.00000292    0.00000000     -0.00000237    0.00000000     -0.00000932    0.00000000     -0.00002587    0.00000000      0.00002043    0.00000000      0.00000240    0.00000000     -0.00000170    0.00000000  
 2306    87 atomic    3 p  -1 	     0.00017819    0.00000000     -0.00009874    0.00000000     -0.00000537    0.00000000      0.00013358    0.00000000     -0.00013368    0.00000000     -0.00003440    0.00000000     -0.00020556    0.00000000     -0.00017723    0.00000000      0.00001180    0.00000000      0.00001801    0.00000000      0.00005451    0.00000000     -0.00001719    0.00000000     -0.00008133    0.00000000     -0.00009954    0.00000000      0.00001878    0.00000000     -0.00000923    0.00000000  
 2307    87 atomic    3 p   0 	     0.00000517    0.00000000      0.00000075    0.00000000     -0.00000222    0.00000000      0.00000013    0.00000000     -0.00000282    0.00000000     -0.00000129    0.00000000     -0.00000502    0.00000000     -0.00000717    0.00000000      0.00000142    0.00000000     -0.00001870    0.00000000      0.00000192    0.00000000     -0.00000292    0.00000000     -0.00000183    0.00000000     -0.00000051    0.00000000      0.00000651    0.00000000      0.00002046    0.00000000  
 2308    87 atomic    3 p   1 	     0.00000390    0.00000000      0.00004336    0.00000000      0.00019702    0.00000000      0.00012684    0.00000000      0.00009234    0.00000000     -0.00007511    0.00000000     -0.00012150    0.00000000      0.00017222    0.00000000      0.00007204    0.00000000      0.00002879    0.00000000      0.00002350    0.00000000      0.00009211    0.00000000      0.00025541    0.00000000     -0.00020159    0.00000000     -0.00002360    0.00000000      0.00001676    0.00000000  
 2309    87 atomic    4 p  -1 	    -0.00142827    0.00000000      0.00079101    0.00000000      0.00004281    0.00000000     -0.00106756    0.00000000      0.00106969    0.00000000      0.00027649    0.00000000      0.00164547    0.00000000      0.00141710    0.00000000     -0.00009543    0.00000000     -0.00013695    0.00000000     -0.00043358    0.00000000      0.00013639    0.00000000      0.00064495    0.00000000      0.00079021    0.00000000     -0.00015129    0.00000000      0.00006250    0.00000000  
 2310    87 atomic    4 p   0 	    -0.00004097    0.00000000     -0.00000539    0.00000000      0.00001640    0.00000000     -0.00000177    0.00000000      0.00002246    0.00000000      0.00000975    0.00000000      0.00003863    0.00000000      0.00005580    0.00000000     -0.00000996    0.00000000      0.00014016    0.00000000     -0.00001381    0.00000000      0.00002271    0.00000000      0.00001449    0.00000000      0.00000322    0.00000000     -0.00005372    0.00000000     -0.00015234    0.00000000  
 2311    87 atomic    4 p   1 	    -0.00003216    0.00000000     -0.00034807    0.00000000     -0.00157959    0.00000000     -0.00101288    0.00000000     -0.00073819    0.00000000      0.00060285    0.00000000      0.00097317    0.00000000     -0.00137866    0.00000000     -0.00057803    0.00000000     -0.00022930    0.00000000     -0.00018575    0.00000000     -0.00073138    0.00000000     -0.00202767    0.00000000      0.00160045    0.00000000      0.00018548    0.00000000     -0.00013106    0.00000000  
 2312    87 atomic    5 p  -1 	     0.01628786    0.00000000     -0.00899451    0.00000000     -0.00045646    0.00000000      0.01202409    0.00000000     -0.01211485    0.00000000     -0.00316064    0.00000000     -0.01862960    0.00000000     -0.01596783    0.00000000      0.00109328    0.00000000      0.00128652    0.00000000      0.00467217    0.00000000     -0.00147963    0.00000000     -0.00690922    0.00000000     -0.00851449    0.00000000      0.00161072    0.00000000     -0.00033234    0.00000000  
 2313    87 atomic    5 p   0 	     0.00047818    0.00000000      0.00005092    0.00000000     -0.00014652    0.00000000      0.00003740    0.00000000     -0.00022871    0.00000000     -0.00007395    0.00000000     -0.00040404    0.00000000     -0.00062281    0.00000000      0.00008084    0.00000000     -0.00130197    0.00000000      0.00011214    0.00000000     -0.00022411    0.00000000     -0.00016284    0.00000000     -0.00002206    0.00000000      0.00066420    0.00000000      0.00133801    0.00000000  
 2314    87 atomic    5 p   1 	     0.00039787    0.00000000      0.00399136    0.00000000      0.01803324    0.00000000      0.01138964    0.00000000      0.00833834    0.00000000     -0.00688568    0.00000000     -0.01107808    0.00000000      0.01560608    0.00000000      0.00658893    0.00000000      0.00250337    0.00000000      0.00194616    0.00000000      0.00785845    0.00000000      0.02178457    0.00000000     -0.01723010    0.00000000     -0.00197282    0.00000000      0.00134624    0.00000000  
 2315    87 ionic     6 p  -1 	     0.04583588    0.00000000     -0.02496667    0.00000000     -0.00089138    0.00000000      0.03203857    0.00000000     -0.03308346    0.00000000     -0.00863768    0.00000000     -0.05039733    0.00000000     -0.04293077    0.00000000      0.00323940    0.00000000      0.00196388    0.00000000      0.01321795    0.00000000     -0.00374958    0.00000000     -0.01951961    0.00000000     -0.02429142    0.00000000      0.00501917    0.00000000      0.00218244    0.00000000  
 2316    87 ionic     6 p   0 	     0.00126297    0.00000000     -0.00019661    0.00000000     -0.00065092    0.00000000      0.00029984    0.00000000     -0.00069607    0.00000000     -0.00067590    0.00000000     -0.00085648    0.00000000     -0.00130052    0.00000000     -0.00040329    0.00000000     -0.00215929    0.00000000      0.00044755    0.00000000     -0.00120891    0.00000000     -0.00060660    0.00000000      0.00041799    0.00000000      0.00339581    0.00000000      0.00449271    0.00000000  
 2317    87 ionic     6 p   1 	     0.00128670    0.00000000      0.01139582    0.00000000      0.04934429    0.00000000      0.02991420    0.00000000      0.02233332    0.00000000     -0.01892931    0.00000000     -0.03003237    0.00000000      0.04218739    0.00000000      0.01812730    0.00000000      0.00733760    0.00000000      0.00509304    0.00000000      0.02252034    0.00000000      0.06190837    0.00000000     -0.04942150    0.00000000     -0.00670217    0.00000000      0.00338955    0.00000000  
 2318    87 atomic    3 d  -2 	    -0.00000008    0.00000000      0.00000007    0.00000000      0.00000054    0.00000000     -0.00000266    0.00000000     -0.00000016    0.00000000      0.00000126    0.00000000     -0.00000259    0.00000000      0.00000074    0.00000000     -0.00000228    0.00000000      0.00000047    0.00000000     -0.00000893    0.00000000     -0.00000955    0.00000000      0.00000097    0.00000000     -0.00000406    0.00000000     -0.00000004    0.00000000     -0.00000119    0.00000000  
 2319    87 atomic    3 d  -1 	     0.00000010    0.00000000      0.00000009    0.00000000     -0.00000008    0.00000000     -0.00000003    0.00000000     -0.00000010    0.00000000      0.00000001    0.00000000     -0.00000014    0.00000000     -0.00000025    0.00000000      0.00000008    0.00000000     -0.00000103    0.00000000      0.00000002    0.00000000     -0.00000006    0.00000000     -0.00000013    0.00000000     -0.00000009    0.00000000      0.00000010    0.00000000      0.00000065    0.00000000  
 2320    87 atomic    3 d   0 	    -0.00000106    0.00000000     -0.00000335    0.00000000     -0.00000432    0.00000000      0.00000026    0.00000000     -0.00000070    0.00000000     -0.00000614    0.00000000     -0.00000036    0.00000000      0.00000414    0.00000000     -0.00000218    0.00000000      0.00000150    0.00000000      0.00000260    0.00000000     -0.00000258    0.00000000      0.00000150    0.00000000      0.00000094    0.00000000     -0.00000061    0.00000000     -0.00000087    0.00000000  
 2321    87 atomic    3 d   1 	    -0.00000013    0.00000000     -0.00000003    0.00000000     -0.00000003    0.00000000      0.00000011    0.00000000     -0.00000000    0.00000000      0.00000002    0.00000000      0.00000007    0.00000000      0.00000022    0.00000000     -0.00000008    0.00000000      0.00000039    0.00000000      0.00000001    0.00000000     -0.00000002    0.00000000      0.00000002    0.00000000      0.00000007    0.00000000     -0.00000044    0.00000000     -0.00000051    0.00000000  
 2322    87 atomic    3 d   2 	     0.00000095    0.00000000      0.00000241    0.00000000     -0.00000039    0.00000000      0.00000002    0.00000000     -0.00000044    0.00000000      0.00000025    0.00000000      0.00000001    0.00000000      0.00000004    0.00000000      0.00000054    0.00000000     -0.00000036    0.00000000      0.00000517    0.00000000     -0.00000501    0.00000000      0.00000246    0.00000000      0.00000146    0.00000000     -0.00000144    0.00000000     -0.00000118    0.00000000  
 2323    87 atomic    4 d  -2 	    -0.00001083    0.00000000     -0.00001109    0.00000000     -0.00008366    0.00000000      0.00027725    0.00000000      0.00005802    0.00000000     -0.00002267    0.00000000      0.00020589    0.00000000     -0.00006087    0.00000000      0.00016574    0.00000000     -0.00002684    0.00000000      0.00043202    0.00000000      0.00046478    0.00000000     -0.00005064    0.00000000      0.00019497    0.00000000     -0.00000140    0.00000000      0.00004863    0.00000000  
 2324    87 atomic    4 d  -1 	    -0.00000466    0.00000000     -0.00000616    0.00000000      0.00000257    0.00000000      0.00000199    0.00000000      0.00000278    0.00000000     -0.00000468    0.00000000      0.00000609    0.00000000      0.00001523    0.00000000     -0.00000369    0.00000000      0.00003703    0.00000000      0.00000095    0.00000000      0.00000198    0.00000000      0.00000620    0.00000000      0.00000411    0.00000000     -0.00000542    0.00000000     -0.00001733    0.00000000  
 2325    87 atomic    4 d   0 	     0.00003691    0.00000000      0.00010141    0.00000000      0.00014028    0.00000000     -0.00000905    0.00000000      0.00002338    0.00000000      0.00019173    0.00000000      0.00000279    0.00000000     -0.00014432    0.00000000      0.00007029    0.00000000     -0.00006312    0.00000000     -0.00003515    0.00000000      0.00003288    0.00000000     -0.00002476    0.00000000     -0.00001616    0.00000000      0.00002051    0.00000000      0.00003524    0.00000000  
 2326    87 atomic    4 d   1 	     0.00000680    0.00000000      0.00000217    0.00000000      0.00000279    0.00000000     -0.00001044    0.00000000     -0.00000310    0.00000000     -0.00000378    0.00000000     -0.00000374    0.00000000     -0.00001202    0.00000000      0.00000768    0.00000000     -0.00002249    0.00000000     -0.00000138    0.00000000      0.00000033    0.00000000     -0.00000043    0.00000000     -0.00000265    0.00000000      0.00001184    0.00000000      0.00002056    0.00000000  
 2327    87 atomic    4 d   2 	    -0.00012325    0.00000000     -0.00030194    0.00000000      0.00004087    0.00000000      0.00001811    0.00000000      0.00010824    0.00000000     -0.00004475    0.00000000      0.00000069    0.00000000     -0.00003736    0.00000000     -0.00008376    0.00000000      0.00000875    0.00000000     -0.00025229    0.00000000      0.00024559    0.00000000     -0.00011857    0.00000000     -0.00006951    0.00000000      0.00006293    0.00000000      0.00005713    0.00000000  
 2328    87 atomic    5 d  -2 	     0.00931867    0.00000000      0.00703154    0.00000000      0.04785240    0.00000000     -0.14478426    0.00000000     -0.03843453    0.00000000     -0.00851384    0.00000000     -0.09511574    0.00000000      0.02867750    0.00000000     -0.07256844    0.00000000      0.00903781    0.00000000     -0.12813063    0.00000000     -0.13955064    0.00000000      0.01635697    0.00000000     -0.05686682    0.00000000      0.00099458    0.00000000     -0.01051532    0.00000000  
 2329    87 atomic    5 d  -1 	     0.00084054    0.00000000      0.00217096    0.00000000     -0.00051971    0.00000000     -0.00103944    0.00000000     -0.00047089    0.00000000      0.00215758    0.00000000     -0.00119031    0.00000000     -0.00447017    0.00000000      0.00095708    0.00000000     -0.00614113    0.00000000     -0.00051503    0.00000000     -0.00044117    0.00000000     -0.00142865    0.00000000     -0.00073560    0.00000000      0.00140958    0.00000000      0.00061260    0.00000000  
 2330    87 atomic    5 d   0 	    -0.00762244    0.00000000     -0.01529854    0.00000000     -0.02562046    0.00000000      0.00238814    0.00000000     -0.00448169    0.00000000     -0.03064158    0.00000000      0.00339056    0.00000000      0.02927427    0.00000000     -0.01173293    0.00000000      0.01460660    0.00000000     -0.01201392    0.00000000      0.01362052    0.00000000     -0.00491852    0.00000000     -0.00265995    0.00000000     -0.00276743    0.00000000     -0.00626855    0.00000000  
 2331    87 atomic    5 d   1 	    -0.00204275    0.00000000     -0.00068231    0.00000000     -0.00129499    0.00000000      0.00450475    0.00000000      0.00168423    0.00000000      0.00196270    0.00000000      0.00112648    0.00000000      0.00356718    0.00000000     -0.00309536    0.00000000      0.00598007    0.00000000      0.00047084    0.00000000      0.00017352    0.00000000     -0.00016355    0.00000000      0.00061134    0.00000000     -0.00057023    0.00000000     -0.00299796    0.00000000  
