aims_uuid : 4CA28C00-B252-409C-A144-D565F4009B24                                                                                                      
# Complex Kohn-Sham eigenvectors for band number        1, k-point number        1, at relative reciprocal-space coordinates:   0.00000000   0.00000000   0.00000000
#
#      Basis function ID                       State number
#    /                   \    	                         1                             2                             3                             4                             5                             6                             7                             8                             9                             10                            11                            12                            13                            14                            15                            16    
#   /                     \   	                  -1.83342466                   -1.82938952                   -1.75399193                   -1.69191741                   -1.66150226                   -1.63822536                   -1.62332715                   -1.61756012                   -1.60198609                   -0.78156542                   -0.25685949                    0.25746702                    0.28478707                    0.29309129                    1.19750350                    1.23713512  
#  /                       \  	                   1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    0.99984104                    0.00011965                    0.00002456                    0.00001475                    0.00000000                    0.00000000  
# No.  atom   type    n l   m 	    Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]  
   35     2 atomic    2 p  -1 	    -0.00332828    0.00000000      0.00148055    0.00000000      0.00732271    0.00000000     -0.00153306    0.00000000      0.00094667    0.00000000      0.00308802    0.00000000      0.00041648    0.00000000     -0.00465126    0.00000000      0.00099787    0.00000000      0.00097034    0.00000000      0.00201120    0.00000000     -0.00096740    0.00000000      0.00031080    0.00000000     -0.00195176    0.00000000     -0.00001977    0.00000000      0.00381238    0.00000000  
   36     2 atomic    2 p   0 	    -0.01387943    0.00000000      0.00828481    0.00000000     -0.01123238    0.00000000     -0.01022961    0.00000000      0.04985318    0.00000000     -0.03182604    0.00000000     -0.01953560    0.00000000      0.02047146    0.00000000      0.02030870    0.00000000      0.00432703    0.00000000      0.00812829    0.00000000      0.02646536    0.00000000     -0.02086948    0.00000000      0.01874953    0.00000000      0.05918619    0.00000000     -0.34228233    0.00000000  
   37     2 atomic    2 p   1 	     0.01479100    0.00000000      0.00977294    0.00000000     -0.01733181    0.00000000      0.00207005    0.00000000     -0.00628914    0.00000000     -0.01919229    0.00000000     -0.00343898    0.00000000      0.02063286    0.00000000      0.00002723    0.00000000     -0.00205452    0.00000000     -0.00895005    0.00000000      0.00644626    0.00000000      0.00774105    0.00000000      0.00875645    0.00000000      0.00106887    0.00000000     -0.01862396    0.00000000  
   38     2 hydro     2 p  -1 	    -0.00131183    0.00000000      0.00284112    0.00000000      0.00157621    0.00000000     -0.00010423    0.00000000     -0.00136050    0.00000000     -0.00237494    0.00000000     -0.00107069    0.00000000     -0.00172819    0.00000000     -0.00101910    0.00000000      0.00088133    0.00000000      0.00013426    0.00000000      0.00079927    0.00000000      0.00181726    0.00000000     -0.00153467    0.00000000      0.00256013    0.00000000      0.00027779    0.00000000  
   39     2 hydro     2 p   0 	    -0.00254424    0.00000000     -0.00077064    0.00000000      0.00073808    0.00000000     -0.00131992    0.00000000      0.00249133    0.00000000     -0.00051215    0.00000000     -0.00142291    0.00000000     -0.00101494    0.00000000      0.00225464    0.00000000      0.00026792    0.00000000      0.00117534    0.00000000      0.00213535    0.00000000     -0.00280526    0.00000000      0.00034755    0.00000000      0.00791060    0.00000000     -0.04497045    0.00000000  
   40     2 hydro     2 p   1 	     0.00001642    0.00000000      0.00034398    0.00000000      0.00165454    0.00000000      0.00069781    0.00000000      0.00001046    0.00000000     -0.00043474    0.00000000     -0.00079717    0.00000000      0.00090911    0.00000000      0.00062220    0.00000000      0.00006259    0.00000000      0.00091522    0.00000000      0.00171544    0.00000000     -0.00036752    0.00000000      0.00014258    0.00000000      0.00089420    0.00000000     -0.00216805    0.00000000  
   41     2 hydro     3 d  -2 	     0.00034316    0.00000000     -0.00024311    0.00000000     -0.00058032    0.00000000      0.00004793    0.00000000      0.00014168    0.00000000      0.00014381    0.00000000      0.00011553    0.00000000      0.00039387    0.00000000      0.00006930    0.00000000      0.00074188    0.00000000     -0.00005928    0.00000000      0.00005829    0.00000000      0.00001496    0.00000000      0.00044819    0.00000000      0.00080931    0.00000000      0.00019344    0.00000000  
   42     2 hydro     3 d  -1 	    -0.00136602    0.00000000      0.00100274    0.00000000      0.00073218    0.00000000      0.00205981    0.00000000     -0.00144489    0.00000000     -0.00226688    0.00000000     -0.00228438    0.00000000     -0.00023443    0.00000000     -0.00076786    0.00000000     -0.01618204    0.00000000      0.00025510    0.00000000      0.00023372    0.00000000     -0.00060119    0.00000000     -0.00124492    0.00000000     -0.01991726    0.00000000     -0.00250452    0.00000000  
   43     2 hydro     3 d   0 	     0.00032214    0.00000000      0.00027292    0.00000000      0.00047416    0.00000000      0.00061030    0.00000000      0.00076173    0.00000000      0.00018059    0.00000000      0.00001056    0.00000000      0.00060519    0.00000000     -0.00023308    0.00000000      0.00007774    0.00000000      0.00071261    0.00000000      0.00046001    0.00000000     -0.00036990    0.00000000      0.00050248    0.00000000     -0.00011996    0.00000000      0.00033573    0.00000000  
   44     2 hydro     3 d   1 	    -0.00021952    0.00000000      0.00072166    0.00000000     -0.00060245    0.00000000      0.00038287    0.00000000      0.00120144    0.00000000     -0.00181347    0.00000000     -0.00105170    0.00000000      0.00120385    0.00000000      0.00022199    0.00000000     -0.00298266    0.00000000      0.00008596    0.00000000      0.00102308    0.00000000     -0.00018214    0.00000000      0.00068250    0.00000000     -0.00300772    0.00000000     -0.00556326    0.00000000  
   45     2 hydro     3 d   2 	     0.00045066    0.00000000      0.00056752    0.00000000     -0.00026479    0.00000000      0.00015708    0.00000000      0.00000637    0.00000000     -0.00063538    0.00000000     -0.00004206    0.00000000      0.00063880    0.00000000     -0.00020745    0.00000000     -0.00024909    0.00000000     -0.00017630    0.00000000      0.00033377    0.00000000      0.00030102    0.00000000      0.00023497    0.00000000     -0.00028583    0.00000000     -0.00029900    0.00000000  
   46     3 atomic    1 s   0 	     0.00084646    0.00000000     -0.00026158    0.00000000     -0.00061829    0.00000000      0.00114712    0.00000000     -0.00027334    0.00000000      0.00020142    0.00000000     -0.00043442    0.00000000      0.00116074    0.00000000      0.00011778    0.00000000      0.00014402    0.00000000     -0.00052854    0.00000000      0.00044576    0.00000000     -0.00095586    0.00000000     -0.00058054    0.00000000     -0.00021047    0.00000000     -0.00018964    0.00000000  
   47     3 hydro     3 s   0 	     0.00560567    0.00000000     -0.00162530    0.00000000     -0.00402504    0.00000000      0.00730946    0.00000000     -0.00179664    0.00000000      0.00205210    0.00000000     -0.00238732    0.00000000      0.00714222    0.00000000      0.00050895    0.00000000      0.00076118    0.00000000     -0.00251449    0.00000000      0.00247855    0.00000000     -0.00496897    0.00000000     -0.00322922    0.00000000     -0.00083738    0.00000000     -0.00078579    0.00000000  
   48     3 atomic    2 s   0 	    -0.01505076    0.00000000      0.00141460    0.00000000      0.00773385    0.00000000     -0.01985268    0.00000000      0.00705225    0.00000000     -0.00682205    0.00000000      0.00546299    0.00000000     -0.01918302    0.00000000     -0.00103393    0.00000000     -0.00178045    0.00000000      0.00774228    0.00000000     -0.00670064    0.00000000      0.01201585    0.00000000      0.00745403    0.00000000     -0.00121783    0.00000000      0.00085376    0.00000000  
   49     3 atomic    2 p  -1 	    -0.02365237    0.00000000      0.00573874    0.00000000      0.01690280    0.00000000     -0.02271987    0.00000000      0.00520736    0.00000000     -0.00685973    0.00000000      0.00870956    0.00000000     -0.02119786    0.00000000     -0.00221531    0.00000000     -0.00242879    0.00000000      0.00378529    0.00000000     -0.00526111    0.00000000      0.00874969    0.00000000      0.00485252    0.00000000      0.01934767    0.00000000     -0.00019895    0.00000000  
